work_ID,work_species,work_author,trait_value_1.2.2,trait_value_1.6.3,trait_value_3.2.3,trait_value_4.1.3,agreement_1.2.2,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.6.3,n_3.2.3,n_4.1.3,references_1.2.2,references_1.6.3,references_3.2.3,references_4.1.3
73240,Combretum brevistylum,Eichler,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10262,-10233",NA,NA,NA
73241,Combretum llewelynii,J.F.Macbr.,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10250,10262",NA,NA,NA
73242,Combretum paraguariense,(Eichler) Stace,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10250,-10233",NA,NA,NA
73243,Combretum vernicosum,Rusby,shrub,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10262,10218",NA,NA,NA
73244,Conceveiba rhytidocarpa,Müll.Arg.,tree,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,"10203,10220,-10233,10246,10250,10223,10350",NA,NA,NA
73245,Conchocarpus pentandrus,(A.St.-Hil.) Kallunki & Pirani,shrub,NA,NA,NA,0.667,NA,NA,NA,3,NA,NA,NA,"10262,10218,10246",NA,NA,NA
73250,Connarus perrottetii,(DC.) Planch.,tree,8,0.756666667,NA,1,NA,NA,NA,3,1,1,NA,"10218,10246,10350,-10233",10199,10255,NA
73251,Connarus punctatus,Planch.,shrub,7,NA,NA,0.8,NA,NA,NA,5,1,NA,NA,"10250,10262,10223,10350",10199,NA,NA
73252,Connarus ruber,(Poepp.) Planch.,shrub,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10250,-10233,10350",NA,NA,NA
73254,Laennecia artemisiifolia,(Meyen & Walp.) G.L.Nesom,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10223",NA,NA,NA
73255,Copaifera reticulata,Ducke,tree,30,NA,NA,0.917,NA,NA,NA,6,1,NA,NA,"10203,-10233,10246,10250,10262,10350,10218",10199,NA,NA
73257,Cordia acutifolia,Fresen.,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10246,10262",NA,NA,NA
73260,Cordia panamensis,L.Riley,tree,14,0.0604,291.091,0.894,0.606,NA,NA,11,2,1,1,"10136,10027,10203,10218,10219,10220,-10233,10246,10223,10350,10250","10136,10199",10255,10257
73261,Cordia kingstoniana,J.S.Mill.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10246,10250,10262,10350",NA,NA,NA
73262,Cordia lomatoloba,I.M.Johnst.,tree,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,"10218,10220,-10233,10246,10262,10223,10350",NA,NA,NA
73263,Cordia mexiana,I.M.Johnst.,tree,10,NA,NA,1,NA,NA,NA,8,1,NA,NA,"10136,10027,10203,10220,10246,10250,10223,10350",10136,NA,NA
73266,Cordia scabrifolia,A.DC.,tree,NA,NA,NA,0.8,NA,NA,NA,5,NA,NA,NA,"10203,-10233,10246,10262,10350",NA,NA,NA
73267,Cordia sellowiana,Cham.,tree,12,NA,NA,1,NA,NA,NA,1,1,NA,NA,"+10060,10203,-10233,10246,10262,10350,10218",10199,NA,NA
73268,Cordia sprucei,Mez,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,-10233,10246,10262,10223,10350",NA,NA,NA
73269,Cordia tetrandra,Aubl.,tree,15,NA,NA,0.938,NA,NA,NA,8,1,NA,NA,"10218,10219,10220,-10233,10246,10262,10223,10350,10250",10199,NA,NA
73270,Cordia toqueve,Aubl.,tree,NA,0.01336,NA,1,NA,NA,NA,6,NA,1,NA,"10218,-10233,10246,10250,10262,10223,10350",NA,10255,NA
73271,Cordia ucayaliensis,(I.M.Johnst.) I.M.Johnst.,tree,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,"10203,10218,10220,-10233,10246,10250,10262,10223,10350",NA,NA,NA
73272,Cordiera hadrantha,(Standl.) C.H.Perss. & Delprete,tree,NA,NA,NA,0.833,NA,NA,NA,3,NA,NA,NA,"10246,10262,10350",NA,NA,NA
73275,Cortaderia bifida,Pilg.,herb,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10219,10220,10250,10223",NA,NA,NA
73276,Corynaea crassa,Hook.f.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73281,Cosmos peucedanifolius,Wedd.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10223",NA,NA,NA
73282,Costus acreanus,(Loes.) Maas,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,-10233,10250,10262,10223",NA,NA,NA
73283,Costus beckii,Maas & H.Maas,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10223,10193",NA,NA,NA
73284,Costus zamoranus,Steyerm.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10220",NA,NA,NA
73285,Couepia latifolia,Standl.,tree,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,"10203,10218,-10233,10246,10250,10262,10350",NA,NA,NA
73286,Couratari guianensis,Aubl.,tree,40,0.236,NA,1,NA,NA,NA,9,1,1,NA,"10203,10218,10219,10220,-10233,10246,10250,10262,10223,10350",10199,10255,NA
73287,Couratari macrosperma,A.C.Sm.,tree,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,-10233,10246,10262,10350",NA,NA,NA
73288,Couroupita subsessilis,Pilg.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10203,-10233,10246,10262,10223,10350",NA,NA,NA
73290,Coussapoa asperifolia,Trécul,tree,NA,0.002,NA,0.786,NA,NA,NA,7,NA,1,NA,"10218,10219,-10233,10246,10250,10262,10350",NA,10255,NA
73291,Coussapoa cinnamomifolia,Mildbr.,tree,NA,NA,NA,0.667,NA,NA,NA,3,NA,NA,NA,"10219,10246",NA,NA,NA
73292,Coussapoa crassivenosa,Mildbr.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10219,10246,10250,10262,10350",NA,NA,NA
73293,Coussapoa manuensis,C.C.Berg,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10246,10350",NA,NA,NA
73294,Coussapoa ovalifolia,Trécul,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10203,-10233,10246,10250,10262,10350",NA,NA,NA
73295,Coussapoa trinervia,Spruce ex Mildbr.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10203,-10233,10246,10250,10262,10350",NA,NA,NA
73296,Coussapoa villosa,Poepp. & Endl.,tree,NA,NA,NA,0.786,NA,NA,NA,7,NA,NA,NA,"10203,10219,-10233,10246,10262,10218,10250,10350",NA,NA,NA
73299,Coussarea hydrangeifolia,(Benth.) Benth. & Hook.f. ex Müll.Arg.,tree,4.5,NA,NA,0.7,NA,NA,NA,5,1,NA,NA,"10203,10222,-10233,10262,10246",10199,NA,NA
73301,Coussarea longiflora,(Mart.) Müll.Arg.,shrub,NA,NA,NA,0.8,NA,NA,NA,5,NA,NA,NA,"10220,10262,10350,10218,10246",NA,NA,NA
73303,Coussarea rudgeoides,Rusby,tree,NA,0.35,NA,0.667,NA,NA,NA,6,NA,1,NA,"10218,-10233,10262,10350,10246",NA,10255,NA
73306,Crassula venezuelensis,(Steyerm.) M.Bywater & Wickens,herb,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10136,10218,10219,10250,10223",NA,NA,NA
73307,Cremastosperma leiophyllum,R.E.Fr.,tree,NA,0.22,NA,1,NA,NA,NA,5,NA,1,NA,"10203,10218,-10233,10246,10223,10350",NA,10255,NA
73308,Cremastosperma microcarpum,R.E.Fr.,tree,NA,NA,NA,0.9,NA,NA,NA,5,NA,NA,NA,"10246,10262,10223,10350,10250",NA,NA,NA
73309,Cremastosperma monospermum,(Rusby) R.E.Fr.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10220,10246,10262,10350",NA,NA,NA
73314,Critoniopsis boliviana,(Britton) H.Rob.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73315,Croton abutilifolius,Croizat,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73316,Croton beetlei,Croizat,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10246,10350,10218",NA,NA,NA
73319,Croton lechleri,Müll.Arg.,tree,12,NA,NA,1,NA,NA,NA,8,1,NA,NA,"10203,10218,10220,-10233,10246,10250,10262,10223,10350",10199,NA,NA
73320,Croton matourensis,Aubl.,tree,6,NA,NA,0.833,NA,NA,NA,9,1,NA,NA,"10203,10218,10219,10220,-10233,10246,10250,10223,10350",10199,NA,NA
73321,Croton pachypodus,G.L.Webster,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10027,10218,10246,10250,10350",NA,NA,NA
73323,Croton rimbachii,Croizat,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10246",NA,NA,NA
73324,Croton rusbyi,Britton ex Rusby,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73325,Croton sampatik,Müll.Arg.,tree,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,"10203,10218,10220,10246,10250,10262,10223,10350",NA,NA,NA
73326,Croton tessmannii,Mansf.,tree,NA,NA,NA,0.857,NA,NA,NA,7,NA,NA,NA,"10203,10220,-10233,10246,10250,10262,10350",NA,NA,NA
73327,Croton peltophorus,Müll.Arg.,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10220",NA,NA,NA
73328,Cryptarrhena guatemalensis,Schltr.,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10250,10262,10223",NA,NA,NA
73329,Cryptarrhena kegelii,Rchb.f.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10262",NA,NA,NA
73330,Ctenanthe amphiandina,L.C.Anderson,herb,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10220,10250,10262,10223",NA,NA,NA
73331,Ctenitis refulgens,(Mett.) Vareschi,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10220,10250,10262",NA,NA,NA
73333,Cuatrecasasiella argentina,(Cabrera) H.Rob.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
73335,Cupania cinerea,Poepp.,tree,NA,0.51,NA,0.909,NA,NA,NA,11,NA,1,NA,"10136,10027,10203,10219,10220,-10233,10246,10250,10262,10223,10218,10350",NA,10255,NA
73336,Cupania latifolia,Kunth,tree,NA,0.76,NA,0.938,NA,NA,NA,8,NA,1,NA,"10203,10219,10220,-10233,10246,10262,10223,10350,10250",NA,10255,NA
73337,Cupania livida,(Radlk.) Croat,tree,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,"10027,10203,10219,10220,-10233,10246,10250,10350",NA,NA,NA
73338,Cupania oblongifolia,Mart.,tree,NA,1.1,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,10203,10218,-10233,10246,10262,10350",NA,10244,NA
73339,Cupania scrobiculata,Rich.,tree,10,0.15,NA,0.833,NA,NA,NA,9,1,1,NA,"10201,10203,10219,10220,10246,10262,10218,-10233,10250,10350",10199,10255,NA
73341,Cuphea cordata,Ruiz & Pav.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
73343,Cuphea melvilla,Lindl.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10223,10250",NA,NA,NA
73344,Cuphea nivea,S.A.Graham,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73345,Cuphea odonellii,Lourteig,herb,NA,0.00167,NA,0.667,NA,NA,NA,3,NA,1,NA,"10218,-10233,10250",NA,10255,NA
73346,Cuphea repens,Koehne,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10250,10262",NA,NA,NA
73349,Cuphea splendida,Lourteig,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73350,Cuphea spruceana,Koehne,herb,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10223,10218",NA,NA,NA
73352,Cuscuta grandiflora,Kunth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73358,Cyathea acutidens,(Christ) Domin,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10246,NA,NA,NA
73359,Cyathea austropallescens,Lehnert,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73360,Cyathea bettinae,Lehnert,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73361,Cyathea bipinnatifida,Domin,tree,NA,NA,NA,0.75,NA,NA,NA,4,NA,NA,NA,"10218,10246,10262",NA,NA,NA
73362,Cyathea ruiziana,Klotzsch,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73363,Cyathea carolihenrici,Lehnert,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73364,Cyathea catacampta,Alston,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73365,Cyathea conjugata,Domin,tree,NA,NA,NA,0.8,NA,NA,NA,5,NA,NA,NA,"10027,10218,10220,10246",NA,NA,NA
73367,Cyathea herzogii,Rosenst.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73368,Cyathea kalbreyeri,(Baker) Domin,tree,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10219,10220,10246",NA,NA,NA
73369,Cyathea lasiosora,Domin,tree,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10220,10246,10262",NA,NA,NA
73370,Cyathea lechleri,Mett.,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10219,10220",NA,NA,NA
73371,Cyathea leucolepismata,Alston,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10246",NA,NA,NA
73372,Cyathea lindigii,(Baker) Domin,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73373,Cyathea obnoxia,Lehnert,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73374,Cyathea pallescens,Domin,tree,3,NA,NA,0.75,NA,NA,NA,4,1,NA,NA,"10219,10220,10246",10136,NA,NA
73376,Cyathea poeppigii,Domin,tree,1,NA,NA,1,NA,NA,NA,5,1,NA,NA,"10218,10219,10220,10246,10262",10136,NA,NA
73378,Cyathea straminea,H.Karst.,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10246",NA,NA,NA
73380,Cyathea vilhelmii,Domin,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10246",NA,NA,NA
73381,Cyathea villosa,Willd.,tree,NA,NA,NA,0.667,NA,NA,NA,3,NA,NA,NA,"10246,10262",NA,NA,NA
73382,Cyathea xenoxyla,Lehnert,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73383,Cyathea zongoensis,Lehnert,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73384,Cybianthus buchtienii,(Pax) G.Agostini,tree,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10350,10218",NA,NA,NA
73385,Cybianthus comperuvianus,Pipoly,tree,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"-10233,10350,10218",NA,NA,NA
73386,Cybianthus cuyabensis,Mez,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10262,NA,NA,NA
73391,Cybianthus nanayensis,(J.F.Macbr.) G.Agostini,shrub,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10223,10350",NA,NA,NA
73392,Cybianthus peruvianus,(A.DC.) Miq.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262,10223,10218,10246,10350",NA,NA,NA
73393,Cybianthus psychotriifolius,(Rusby) Mez,shrub,NA,NA,NA,0.75,NA,NA,NA,4,NA,NA,NA,"10262,10350,10218,10246",NA,NA,NA
73397,Cyclopogon millei,(Schltr.) Schltr.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10250",NA,NA,NA
73398,Cycnoches haagii,Barb.Rodr.,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,-10233,10250,10262,10223",NA,NA,NA
73400,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,tree,NA,NA,NA,0.833,NA,NA,NA,6,NA,NA,NA,"10218,-10233,10250,10262,10223,10246,10350",NA,NA,NA
73401,Cymbopetalum longipes,Benth. ex Diels,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10246,10262,10223,10350",NA,NA,NA
73404,Cyperus camphoratus,Liebm.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10262",NA,NA,NA
73405,Cyperus chalaranthus,J.Presl & C.Presl,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10219,10220,10250,10262,10223",NA,NA,NA
73406,Cyperus miliifolius,Poepp. & Kunth,herb,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,"10218,10219,10220,10250,10262,10223",NA,NA,NA
73407,Cyperus pearcei,C.B.Clarke,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10262,10223,10193",NA,NA,NA
73408,Cyperus simplex,Kunth,herb,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10219,10250,10262,10223",NA,NA,NA
73409,Cyperus unicolor,Boeckeler,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
73414,Solanum tenuisetosum,(Bitter) Bohs,shrub,NA,NA,NA,0.7,NA,NA,NA,5,NA,NA,NA,"10218,10220,-10233,10223,10350",NA,NA,NA
73416,Cyrtochilum aureum,(Lindl.) Senghas,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73417,Cyrtochilum cimiciferum,(Rchb.f.) Dalström,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10219,10250,10223",NA,NA,NA
73418,Cyrtochilum myanthum,(Lindl.) Kraenzl.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73419,Cyrtopodium paniculatum,(Ruiz & Pav.) Garay,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10250,10223",NA,NA,NA
73420,Dacryodes belemensis,Cuatrec.,tree,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,"10218,10219,10220,-10233,10246,10250,10262,10350",NA,NA,NA
73421,Dacryodes peruviana,(Loes.) H.J.Lam,tree,17,NA,NA,1,NA,NA,NA,8,1,NA,NA,"10203,10219,10220,-10233,10246,10250,10262,10223,10350",10199,NA,NA
73424,Dalbergia spruceana,Benth.,tree,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10246,10262,10350",NA,NA,NA
73427,Dalechampia tiliifolia,Lam.,shrub,NA,0.021,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
73428,Danaea moritziana,C.Presl,herb,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,"+10060,10218,10219,10250,10262",10136,NA,NA
73429,Daphnopsis boliviana,Nevling,tree,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10246,10218",NA,NA,NA
73433,Deianira chiquitana,Herzog,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10262",NA,NA,NA
73434,Demosthenesia mandonii,(Britton) A.C.Sm.,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73435,Demosthenesia spectabilis,(Rusby) A.C.Sm.,shrub,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"-10233,10223,10218",NA,NA,NA
73436,Dendrobangia boliviana,Rusby,tree,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,"10027,10203,10218,10219,10220,-10233,10246,10250,10262,10223,10350",NA,NA,NA
73437,Dendropanax cuneatus,(DC.) Decne. & Planch.,tree,12,NA,NA,1,NA,NA,NA,1,1,NA,NA,"+10060,10203,10218,10222,10246,10250,10262,10223,10350",10199,NA,NA
73438,Dendropanax inaequalipedunculatus,J.Wen & A.Fuentes,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10246,NA,NA,NA
73440,Dendropanax oblongifolius,Rusby,tree,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10246",NA,NA,NA
73441,Dendropanax williamsii,(Harms) Harms,tree,NA,NA,NA,0.75,NA,NA,NA,4,NA,NA,NA,"10218,10246,10350",NA,NA,NA
73444,Dendrophorbium curvidens,(Sch.Bip. ex Klatt) C.Jeffrey,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73449,Dendrophthora macbridei,(Standl.) Kuijt,shrub,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10250,10223",NA,NA,NA
73451,Dendrophthora mesembrianthemifolia,Urb.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73453,Dennstaedtia auriculata,Navarrete & B.Øllg.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10219,10250",NA,NA,NA
73454,Dennstaedtia cornuta,(Kaulf.) Mett.,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10219,10220,10250",NA,NA,NA
73455,Dennstaedtia mathewsii,C.Chr.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10220,10250",NA,NA,NA
73456,Descurainia athrocarpa,(A.Gray) O.E.Schulz,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73457,Descurainia depressa,(Phil.) Reiche,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10223",NA,NA,NA
73458,Descurainia myriophylla,(Kunth ex DC.) R.E.Fr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10220,10250,10223",NA,NA,NA
73461,Desmodium bridgesii,(Schindl.) Burkart,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
73464,Desmodium limense,Hook.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10223",NA,NA,NA
73465,Desmodium molliculum,(Kunth) DC.,herb,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10218,10219,10220,10250,10223",NA,NA,NA
73467,Desmodium vargasianum,B.G.Schub.,herb,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10223,10218",NA,NA,NA
73471,Desmoscelis calcarata,Triana,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73472,Desmoscelis villosa,(Aubl.) Naudin,herb,NA,5.3e-4,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,10219,10222,-10233,10223,10250,10262",NA,10255,NA
73474,Comparettia micrantha,(Poepp. & Endl.) M.W.Chase & N.H.Williams,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10250,10223",NA,NA,NA
73475,Otoba parvifolia,(Markgr.) A.H.Gentry,tree,15,1.815,NA,1,NA,NA,NA,9,1,1,NA,"10203,10218,10219,10220,-10233,10246,10250,10262,10223,10350",10199,10255,NA
73476,Dialypetalanthus fuscescens,Kuhlm.,tree,NA,NA,NA,0.917,NA,NA,NA,6,NA,NA,NA,"10203,10218,-10233,10246,10262,10223,10350",NA,NA,NA
73477,Diastema latiflora,Rusby,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73480,Dichaea ancoraelabia,C.Schweinf.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10250,10262,10223",NA,NA,NA
73481,Dichaea campanulata,C.Schweinf.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10250,10223",NA,NA,NA
73482,Dichaea hamata,Rolfe ex Stapf,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73483,Dichaea kegelii,Rchb.f.,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10250,10262,10223",NA,NA,NA
73484,Dichaea longa,Schltr.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10250",NA,NA,NA
73486,Dichaea stenophylla,Schltr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10218,NA,NA,NA
73487,Dichaea tenuifolia,Schltr.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10250",NA,NA,NA
73489,Dichapetalum spruceanum,Baill.,tree,NA,NA,NA,0.75,NA,NA,NA,4,NA,NA,NA,"10246,10262,-10233,10250,10350",NA,NA,NA
73490,Dichorisandra ulei,J.F.Macbr.,herb,NA,NA,NA,0.857,NA,NA,NA,7,NA,NA,NA,"10218,10219,10220,-10233,10250,10262,10223",NA,NA,NA
73491,Dichorisandra villosula,Mart.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,10250,10262",NA,NA,NA
73492,Diclidanthera penduliflora,Mart.,shrub,NA,NA,NA,0.667,NA,NA,NA,3,NA,NA,NA,"10262,10350",NA,NA,NA
73493,Dicliptera acuminata,(Ruiz & Pav.) Juss.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73499,Dictyocaryum lamarckianum,(Mart.) H.Wendl.,tree,20,NA,NA,0.75,NA,NA,NA,6,1,NA,NA,"10218,10219,10220,10223,10250",10199,NA,NA
73505,Dieffenbachia costata,Klotzsch ex Schott,herb,NA,NA,NA,0.8,NA,NA,NA,5,NA,NA,NA,"10220,10250,10262,10223",NA,NA,NA
73506,Dieffenbachia humilis,Poepp.,herb,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"-10233,10250,10262,10223",NA,NA,NA
73507,Dieffenbachia parvifolia,Engl.,herb,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,"10218,10220,10250,10262",NA,NA,NA
73509,Dieffenbachia weberbaueri,Engl.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10223,NA,NA,NA
73511,Dieffenbachia williamsii,Croat,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10218,10262",NA,NA,NA
73512,Dilkea retusa,Mast.,shrub,NA,NA,NA,0.7,NA,NA,NA,5,NA,NA,NA,"10219,10250,10262,10218",NA,NA,NA
73513,Dilodendron elegans,(Radlk.) A.H.Gentry & Steyerm.,tree,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,"10203,10218,-10233,10246,10223,10350",NA,NA,NA
